Site;Month;Site_Month;Aeshnidae;Ancylidae;Athericidae;Atriplectididae;Atyidae;Austroperlidae;Baetidae;Caenidae;Calamoceratidae;Calocidae;Ceinidae;Ceratopogonidae;Chironomidae;Coenagrionidae;Coloburiscidae;Conoesucidae;Corbiculidae;Corixidae;Corydalidae;Culicidae;Curculionidae;Dixidae;Dytiscidae;Ecnomidae;Elmidae;Erpobdellidae;Eustheniidae;Gerridae;Glossiphoniidae;Gomphidae;Gripopterygidae;Gyrinidae;Hemicorduliidae;Hydraenidae;Hydrobiosidae;Hydrophilidae;Hydropsychidae;Hydroptilidae;Hygrobiidae;Hymenosomatidae;Isostictidae;Janiridae;Leptoceridae;Leptophlebiidae;Lymnaeidae;Megapodagrionidae;Nepidae;Neurorthidae;Notonectidae;Oniscidae;Oniscigastridae;Parastacidae;Philorheithridae;Physidae;Planorbidae;Psephenidae;Ptilodactylidae;Pyralidae;Richardsonianidae;Scirtidae;Scyphacidae;Simuliidae;Sminthuridae;Sphaeriidae;Stratiomyidae;Synlestidae;Synthemistidae;Tabanidae;Telephlebiidae;Tipulidae;Veliidae;Lepidoptera;Mites;Oligochaeta;Turbellaria
4;9;4_9;0;0;0;0;0;0;0;0;0;0;2;0;201;2;0;0;0;23;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;2;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
4;11;4_11;0;0;0;0;7;0;0;0;0;0;0;0;66;0;0;0;0;208;0;0;0;0;7;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
5;2;5_2;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;208;0;0;0;0;7;2;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;267;0;0;0;0;0;7;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;651;0;0;21;0
5;9;5_9;0;0;0;0;21;0;0;0;0;0;0;0;21;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;21;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0
5;11;5_11;0;0;0;0;66;0;0;0;0;0;0;2;267;21;0;0;0;73;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;2;0;0;7;0;66;0;0;0;0;0;7;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;7;0;0;7;0;21;0;0;7;0
6;2;6_2;0;0;0;0;21;0;0;0;0;0;21;0;73;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;7;0;0;0;0;0;2;7;0;0;0;0;0;0;201;21;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;66;0;0;7;0
6;9;6_9;0;0;0;0;7;0;7;2;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;70;0;0;0;66;0;0;0;0;0;0;0;21;7;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;0;0;0;0;0;7;0;7;0;0;23;0
6;11;6_11;0;0;0;0;7;0;7;0;0;0;2;2;201;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;201;0;2;7;0
7;2;7_2;0;0;0;0;21;0;7;0;0;0;0;0;73;0;0;0;0;68;0;0;0;0;0;0;2;0;0;0;0;0;7;0;2;0;0;0;21;21;0;0;0;0;658;7;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;21;0;0;0;2;0;0;0;0;7;0;0;2;0
7;9;7_9;0;0;0;0;7;0;0;0;0;0;0;0;28;7;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;7;0
7;11;7_11;0;0;0;0;7;0;0;0;0;0;0;0;222;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;0;0;0;21;7;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;7;0
8;9;8_9;0;0;0;0;21;0;21;21;0;0;0;0;21;0;0;21;0;66;0;0;0;0;0;21;7;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;7;0;0;7;0
8;11;8_11;0;0;0;2;66;0;0;7;7;0;0;2;28;0;0;0;0;66;0;2;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;21;0
9;2;9_2;0;0;0;0;201;2;7;21;0;0;0;0;7;0;0;0;0;21;0;0;0;7;0;0;9;0;0;0;0;0;21;0;0;0;7;0;0;0;0;0;0;0;2;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;66;0;2;0;0
9;9;9_9;0;0;0;0;21;0;0;0;2;0;0;0;21;0;0;7;0;7;0;0;0;0;0;0;7;0;0;0;0;0;21;0;0;0;7;0;21;0;0;0;0;0;9;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;7;0;0;2;0
9;11;9_11;0;0;0;0;21;0;0;7;2;0;0;0;7;0;0;7;0;2;0;0;0;0;2;0;0;0;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;21;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;21;0;0;0;2;7;0;2;0;0
10;2;10_2;0;0;0;0;201;2;66;0;0;0;0;0;66;0;0;0;0;651;0;0;0;66;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;28;210;0;0;0;0;0;0;2;0;2;7;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
10;9;10_9;0;0;0;2;21;0;0;0;0;0;0;0;7;0;0;21;0;7;0;0;0;0;2;0;2;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;7;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;21;7;0;0;0
10;11;10_11;0;0;0;0;7;0;21;0;0;0;0;0;21;0;0;7;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;2;0;0;0;0;23;70;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;7;0;0;0;0
11;2;11_2;0;0;0;0;2;0;201;0;0;0;0;0;68;0;0;0;0;201;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;7;42;9;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;2;0;7;0;0;21;0;7;0;0;2;0
11;9;11_9;0;0;0;0;0;0;2;21;0;0;0;0;66;0;0;2;0;21;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;66;0;0;0;2;0;0;0;0;7;0;0;0;0
11;11;11_11;0;0;0;0;0;0;2;0;0;0;0;2;208;0;0;0;0;21;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;7;2;0;0;0;0;0;0;21;9;7;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;7;0;0;7;0
12;2;12_2;0;0;0;0;21;21;0;21;21;0;0;0;23;0;0;0;0;66;2;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;21;0;0;0;0;0;0;0;201;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;2;0;201;0;0;0;0
12;9;12_9;0;0;0;0;21;0;2;7;0;0;0;0;42;0;0;2;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;80;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0
12;11;12_11;0;0;0;0;21;0;2;66;7;0;0;0;23;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;49;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;0
13;2;13_2;0;0;0;0;2;0;2;0;0;0;0;0;208;0;0;2;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0;73;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;66;0;0;7;0
13;9;13_9;0;0;0;0;7;0;0;9;0;0;0;0;87;0;0;9;0;0;0;0;0;0;2;0;23;0;0;0;0;0;51;0;0;0;16;0;28;0;0;0;0;0;4;21;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;21;2;0;0;2;0;0;0;4;0
13;11;13_11;0;0;0;0;2;2;7;4;0;0;0;0;672;0;0;23;0;0;0;2;0;0;0;0;14;0;0;7;0;0;14;0;0;0;2;0;7;0;0;0;0;0;21;14;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;21;66;0;2;2;0;0;0;28;0
14;2;14_2;0;0;0;0;0;0;208;0;2;0;0;0;651;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;35;672;0;2;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;28;0;0;0;0;2;0;9;7;7;0;0;14;0
14;9;14_9;0;0;0;0;0;0;222;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;30;0;0;0;9;0;7;0;0;0;0;0;56;87;0;2;0;2;0;0;7;0;0;0;0;2;7;0;0;0;0;7;0;0;0;0;0;0;66;2;7;0;0;0;0
14;11;14_11;0;0;0;0;0;0;14;0;0;0;0;7;87;0;0;0;0;0;0;0;0;0;4;0;2;0;21;0;0;0;9;0;0;0;7;0;2;0;0;0;0;0;155;80;0;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;66;0;21;0;0;2;0;66;14;7;0;0;0;0
15;9;15_9;0;0;0;0;0;0;21;0;0;7;0;2;28;0;7;0;0;66;7;0;0;0;0;0;7;0;2;0;0;0;21;0;0;0;2;0;0;0;0;0;0;0;21;205;0;0;0;2;0;0;7;0;0;0;0;0;2;0;0;21;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
15;11;15_11;0;0;0;0;0;0;0;0;0;66;0;9;42;0;0;0;0;0;7;0;0;0;0;0;25;0;0;0;0;0;7;0;0;0;9;0;7;0;0;0;0;0;28;653;0;0;0;2;0;0;66;0;2;0;0;2;2;0;0;7;0;87;0;0;0;2;0;0;0;21;0;0;0;21;7
16;2;16_2;0;0;0;0;23;0;0;0;0;0;0;0;7;651;0;0;66;63;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;14;0
16;9;16_9;0;0;0;0;21;0;0;0;0;0;0;0;49;23;0;0;66;66;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;651;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
16;11;16_11;2;0;0;0;21;0;2;0;0;0;0;0;224;21;0;0;201;724;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;1000;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;0;0;658;0;0;0;0;0;0;0;0;0;0;0;9;0
17;2;17_2;0;0;2;0;0;0;0;0;0;0;0;0;14;21;0;0;0;23;0;0;0;0;0;0;0;0;0;0;9;0;0;0;7;0;0;0;201;0;0;0;0;0;651;0;0;0;0;0;0;0;0;0;0;68;9;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;7;0;0;9;0
17;9;17_9;0;0;0;0;0;0;0;0;0;0;0;0;222;23;0;0;0;4;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;68;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
17;11;17_11;0;0;0;0;0;0;0;0;0;0;0;0;658;21;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;21;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;267;66;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;208;0
18;9;18_9;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;66;0;0;7;0
18;11;18_11;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;2;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;66;0
19;2;19_2;0;7;0;0;0;0;0;651;201;0;0;2;0;0;0;7;0;21;0;0;0;0;0;0;23;0;0;0;0;0;658;0;0;0;7;0;0;0;0;0;0;0;7;28;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;7;0;7;0;0;0;2;0;0;0;0;7;0;7;0;0
19;9;19_9;0;0;0;0;21;0;7;21;0;0;0;0;7;0;0;66;0;21;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;66;80;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;7;0;0;0;2;0;0;0;0;66;0;0;0;0
19;11;19_11;0;2;0;0;21;0;21;7;7;0;0;0;87;0;0;66;0;7;0;0;0;0;0;0;9;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;21;23;0;0;0;0;0;0;0;0;0;21;0;0;0;0;2;7;0;66;0;0;0;0;0;0;0;0;7;0;66;0;0
20;2;20_2;0;0;0;0;7;0;2;2;0;0;0;0;2;0;0;21;0;21;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;73;21;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;21;0;0;0;0
20;9;20_9;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;201;0;0;0;0;0;7;0;0;0;21;0;0;0;0;0;0;0;21;66;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;7;0
20;11;20_11;0;0;0;2;21;0;21;7;0;0;0;0;7;0;0;21;0;21;0;0;0;0;0;0;7;0;0;21;0;0;21;0;0;0;7;0;0;0;0;0;0;0;28;208;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;21;0;0;0;66;0;0;0;7;7;0;0;2;0
21;2;21_2;0;0;0;0;21;0;0;7;0;0;21;0;66;66;0;0;0;208;0;0;0;0;28;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;21;0;0;0;0;0;0;0;2;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;0;0;0;2;7;0
21;9;21_9;0;0;0;0;2;0;0;0;0;0;651;2;28;66;0;0;0;28;0;0;0;0;56;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0
21;11;21_11;0;0;0;0;201;0;0;21;0;0;1000;2;23;201;0;0;0;9;0;0;0;0;32;0;2;0;0;0;7;0;0;0;0;0;7;0;0;2;0;0;0;0;21;0;7;7;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1000;0;0
22;2;22_2;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;87;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;21;2;0;0;7;0
22;9;22_9;0;0;0;0;21;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
22;11;22_11;0;0;0;0;66;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;0;0;9;7;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;7;0
23;2;23_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;7;0;651;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;2;0
23;9;23_9;0;0;0;0;21;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;66;0;66;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;66;0
23;11;23_11;0;0;0;0;7;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;651;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;2;0;21;0;0;0;2;0;0;7;0
24;2;24_2;0;0;0;0;7;0;0;0;0;0;21;0;7;0;0;0;0;9;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;7;0;0;7;0;7;0;0;0;0;0;0;0;0;66;7;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;2;201;21;0
24;9;24_9;0;0;0;0;66;0;73;0;0;0;208;0;132;7;0;0;0;651;0;0;0;0;0;0;0;0;0;0;9;0;21;0;0;0;2;0;21;0;0;0;0;0;7;0;23;0;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
24;11;24_11;0;0;0;0;672;0;1007;0;0;0;2000;0;9;7;0;0;0;679;0;0;0;0;7;0;28;0;0;7;0;0;7;0;0;0;21;0;66;0;0;21;0;0;222;0;672;0;0;0;0;0;0;0;0;267;28;7;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;7;0;0;0
